name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Weaponized Scrap,missing,Easy,Artifact Creature — Construct,{4},4.0,rare,cmb1,2019-11-07,,"Upgrade (This creature enters covering another artifact you control. If it can't, exile it. Ignore the artifact it's covering. Anywhere this card goes, cards underneath it also go. It has haste.)",
PuPu UFO,missing,Easy,Artifact Creature — Construct Alien,{2},2.0,uncommon,fin,2025-06-13,Flying,"Flying
{T}: You may put a land card from your hand onto the battlefield.
{3}: Until end of turn, this creature's base power becomes equal to the number of Towns you control.",
Cyberman Patrol,missing,Easy,Artifact Creature — Cyberman,{2},2.0,uncommon,who,2023-10-13,,"Artifact creatures you control have afflict 3. (Whenever a creature with afflict 3 becomes blocked, defending player loses 3 life.)",
Dalek Drone,missing,Easy,Artifact Creature — Dalek,{3}{B}{B},5.0,rare,who,2023-10-13,"Flying, Exterminate!, Menace","Flying, menace
Exterminate! — When this creature enters, destroy target creature an opponent controls. That player loses 3 life.",
That Which Was Compleated,missing,Easy,Artifact Creature — Eldrazi Phyrexian Processor,{8}{C/P}{C/P},10.0,uncommon,unk,2024-02-24,Ward,"Ward—You get two poison counters.
Annihilator X, where X is the total number of poison counters your opponents have.
When you cast That Which Was Compleated, you may put a card an opponent owns in exile into their graveyard. If you do, they get two poison counters.",
Runed Terror,missing,Easy,Artifact Creature — Elemental Champion,{6},6.0,rare,mb2,2024-08-02,,"Instead of taking turns as normal, players take their phases sequentially. (For example, you take your beginning phase as the active player, then the next player in turn order becomes the active player and takes their beginning phase. After each player had a beginning phase, do the same for first main, combat phase, second main, ending phase, and then beginning phase again. If this creature leaves the battlefield, the active player continues their turn as normal.)",
Ice Cream Kitty,missing,Easy,Artifact Creature — Food Cat Mutant,{1}{B/G},2.0,common,tmt,2026-03-06,,"{2}, Sacrifice another creature or token: Draw a card. Activate only as a sorcery.
{2}, {T}, Sacrifice this creature: You gain 3 life.",
A-Cloister Gargoyle,missing,Easy,Artifact Creature — Gargoyle,{1}{W},2.0,uncommon,afr,2022-01-27,Venture into the dungeon,"When Cloister Gargoyle enters, venture into the dungeon. (Enter the first room or advance to the next room.)
As long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying.",
Graven Archfiend,missing,Easy,Artifact Creature — Gargoyle Demon,{3}{B}{B},5.0,rare,ysnc,2022-06-02,"Flying, Conjure","As an additional cost to cast this spell, you may sacrifice a non-Demon creature.
Flying
When Graven Archfiend enters the battlefield, if its additional cost was paid, conjure a card named Demonic Pact onto the battlefield.",
Cartographer's Companion,missing,Easy,Artifact Creature — Gnome,{3},3.0,common,lci,2023-11-17,Explore,"When this creature enters, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",
Cogwork Progenitor,missing,Easy,Artifact Creature — Gnome,{1}{W},2.0,rare,ylci,2023-12-05,Seek,"At the beginning of your end step, you may exile another artifact you control or an artifact card in your graveyard. If you do, seek an artifact card. That card perpetually has base power and toughness 1/1 and becomes a Gnome creature in addition to its other types.",
Compass Gnome,missing,Easy,Artifact Creature — Gnome,{2},2.0,common,lci,2023-11-17,,"When this creature enters, you may search your library for a basic land card or Cave card, reveal it, then shuffle and put that card on top.",
Digsite Conservator,missing,Easy,Artifact Creature — Gnome,{2},2.0,uncommon,lci,2023-11-17,Discover,"Sacrifice this creature: Exile up to four target cards from a single graveyard. Activate only as a sorcery.
When this creature dies, you may pay {4}. If you do, discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",
Market Gnome,missing,Easy,Artifact Creature — Gnome,{W},1.0,uncommon,lci,2023-11-17,,"When this creature dies, you gain 1 life and draw a card.
When this creature is exiled from the battlefield while you're activating a craft ability, you gain 1 life and draw a card.",
Scalesoul Gnome,missing,Easy,Artifact Creature — Gnome,{3}{R}{W},5.0,rare,ylci,2023-12-05,"Discover, Haste, Trample, Conjure","Trample, Haste
Whenever Scalesoul Gnome deals combat damage to a player, discover X, where X is that damage.
Whenever you play a card from exile, conjure a duplicate of it into your hand.",
Goblin Savant,missing,Easy,Artifact Creature — Goblin Wizard,{2},2.0,rare,unk,2023-02-17,,"{T}: Exile the top card of your library. If that card is a Goblin or an artifact card, you may play it this turn.",
Caldera Breaker,missing,Easy,Artifact Creature — Golem,{3}{R}{R}{R},6.0,mythic,ylci,2023-12-05,"Trample, Conjure","Trample
When Caldera Breaker enters, exile all Mountain cards from your library. When you do, Caldera Breaker deals that much damage to target creature or planeswalker an opponent controls.
When Caldera Breaker dies, put all cards exiled with it onto the battlefield under their owner's control. Conjure four cards named Volcanic Geyser into your library, then shuffle.",
Lumbering Laundry,missing,Easy,Artifact Creature — Golem,{5},5.0,uncommon,mkm,2024-02-09,Disguise,"{2}: Until end of turn, you may look at face-down creatures you don't control any time.
Disguise {5} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",
Tribal Golem,missing,Easy,Artifact Creature — Golem,{6},6.0,rare,ons,2002-10-07,,"This creature has trample as long as you control a Beast, haste as long as you control a Goblin, first strike as long as you control a Soldier, flying as long as you control a Wizard, and ""{B}: Regenerate this creature"" as long as you control a Zombie.",
Nobody,missing,Easy,Artifact Creature — Human Hero,{1}{U/R}{U/R},3.0,common,tmt,2026-03-06,Scry,"When this creature enters, return up to one other target artifact you control to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",
A-Circuit Mender,missing,Easy,Artifact Creature — Insect,{3},3.0,uncommon,neo,2023-04-04,,"When Circuit Mender enters, you gain 3 life.
When Circuit Mender leaves the battlefield, draw a card.",
Canoptek Tomb Sentinel,missing,Easy,Artifact Creature — Insect,{4},4.0,rare,40k,2022-10-07,"Exile Cannon, Vigilance, Unearth","Vigilance
Exile Cannon — When this creature enters from a graveyard, exile up to one target nonland permanent.
Unearth {7} ({7}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Timber Paladin,missing,Easy,Artifact Creature — Knight,{1}{G},2.0,rare,woc,2023-09-08,,"As long as this creature is enchanted by exactly one Aura, it has base power and toughness 3/3.
As long as this creature is enchanted by exactly two Auras, it has base power and toughness 5/5 and vigilance.
As long as this creature is enchanted by three or more Auras, it has base power and toughness 10/10, vigilance, and trample.",
Subgoyf,missing,Easy,Artifact Creature — Lhurgoyf,{1}{U},2.0,rare,mb2,2024-08-02,,"Subgoyf's power and toughness are each equal to the number of different subtypes other than creature types among cards in all graveyards and its toughness is equal to that number plus 1. (Subtypes include but are absolutely not limited to: Plains, Equipment, Aura, Arcane, Jace, Curse, Urza's, Ulamog's, etc.)",
Flayed One,missing,Easy,Artifact Creature — Necron,{2}{B},3.0,uncommon,40k,2022-10-07,"Lifelink, Flesh Flayer, Mill","Lifelink
Flesh Flayer — When this creature enters, mill three cards.",
Hexmark Destroyer,missing,Easy,Artifact Creature — Necron,{4}{B}{B},6.0,uncommon,40k,2022-10-07,"Multi-threat Eliminator, Unearth","Multi-threat Eliminator — This creature can't be blocked except by six or more creatures.
Unearth {4}{B}{B} ({4}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Lokhust Heavy Destroyer,missing,Easy,Artifact Creature — Necron,{1}{B}{B}{B},4.0,rare,40k,2022-10-07,"Flying, Unearth, Enmitic Exterminator","Flying
Enmitic Exterminator — When this creature enters, each player sacrifices a creature of their choice.
Unearth {5}{B}{B}{B} ({5}{B}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Lychguard,missing,Easy,Artifact Creature — Necron,{2}{B},3.0,rare,40k,2022-10-07,Guardian Protocols,"Guardian Protocols — {3}{B}, Sacrifice this creature: Return all legendary creature cards from your graveyard to your hand.",
Necron Deathmark,missing,Easy,Artifact Creature — Necron,{3}{B}{B},5.0,rare,40k,2022-10-07,"Synaptic Disintegrator, Flash, Mill","Flash
Synaptic Disintegrator — When this creature enters, destroy up to one target creature and target player mills three cards.",
Royal Warden,missing,Easy,Artifact Creature — Necron,{3}{B}{B},5.0,rare,40k,2022-10-07,"Phalanx Commander, Unearth","Phalanx Commander — When this creature enters, create two tapped 2/2 black Necron Warrior artifact creature tokens.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Skorpekh Destroyer,missing,Easy,Artifact Creature — Necron,{2}{B}{B},4.0,uncommon,40k,2022-10-07,"Hyperphase Threshers, Deathtouch","Deathtouch
Hyperphase Threshers — Whenever an artifact you control enters, this creature gains first strike until end of turn.",
Tomb Blade,missing,Easy,Artifact Creature — Necron,{4}{B}{B},6.0,rare,40k,2022-10-07,"Flying, Unearth","Flying
Whenever this creature deals combat damage to a player, that player loses life equal to the number of creatures they control unless they sacrifice a creature of their choice.
Unearth {6}{B}{B}",
Triarch Praetorian,missing,Easy,Artifact Creature — Necron,{1}{B},2.0,uncommon,40k,2022-10-07,"Flying, Dynastic Codes, Unearth","Flying
Dynastic Codes — When this creature enters from a graveyard, you draw two cards and you lose 2 life.
Unearth {4}{B} ({4}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Necron Overlord,missing,Easy,Artifact Creature — Necron Noble,{2}{B}{B},4.0,rare,40k,2022-10-07,Relentless March,"Relentless March — {X}, {T}, Tap X untapped artifacts you control: Target opponent loses X life.",
Skorpekh Lord,missing,Easy,Artifact Creature — Necron Noble,{2}{B},3.0,rare,40k,2022-10-07,"Command Protocols, Unearth, Menace","Menace
Command Protocols — Other artifact creatures you control get +1/+0 and have menace.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Chronomancer,missing,Easy,Artifact Creature — Necron Wizard,{1}{B},2.0,rare,40k,2022-10-07,"Flying, Atomic Transmutation, Unearth","Flying
Atomic Transmutation — {1}, {T}, Sacrifice another artifact: Draw a card.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",
Cryptek,missing,Easy,Artifact Creature — Necron Wizard,{3}{B},4.0,rare,40k,2022-10-07,,"{1}{B}, {T}: Choose another target artifact creature you control. When that creature dies this turn, return it to the battlefield tapped under your control.",
Plasmancer,missing,Easy,Artifact Creature — Necron Wizard,{2}{B}{B},4.0,uncommon,40k,2022-10-07,"Flying, Dynastic Advisor","Flying
Dynastic Advisor — When this creature enters, search your library for a basic Swamp card, reveal it, put it into your hand, then shuffle.",
Psychomancer,missing,Easy,Artifact Creature — Necron Wizard,{1}{B},2.0,uncommon,40k,2022-10-07,"Flying, Harbinger of Despair","Flying
Harbinger of Despair — Whenever this creature or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield, target opponent loses 1 life and you gain 1 life.",
